headline,clickbait,clickbaitNoise
21 Pictures That Are Way Too Real For People Who Grew Up With Strict Parents,1,0.95
Firing of Michael Jackson spokeswoman disputed,0,0.05
"15 Pets Who Ruined Christmas Because ""Fuck You, That's Why""",1,0.95
Indonesians Embrace American-Style Reality TV,0,0.05
20 Tweets About Outfits That'll Make You Laugh Out Loud,1,0.95
17 Times These Cats Loved Summer Produce,1,0.95
Smoke condition at Penn Station suspends LIRR,0,0.05
Burglars steal Milan Lučić's Memorial Cup ring from his Vancouver home,0,0.05
21 Things You'll Understand If You And Your Best Friend Are Massive Trolls,1,0.95
CNN typo mixes up prospective U.S. presidential candidate with Osama bin Laden,0,0.05
"13 Ways We All Wanted To Live Like ""George Shrinks""",1,0.95
USA upsets Canada in Olympic ice hockey,0,0.05
A New Study Shows 92% Of College Students Prefer To Read Paper Books,1,0.95
18 Things Every Rom-Com Fan Needs In Their Life,1,0.95
Formula 1: Barrichello leaves Ferrari,0,0.05
What's The Funniest Tinder Bio You've Ever Seen,1,0.95
15 Proposals That Proved Love Is Alive In 2015,1,0.95
Lewis Hamilton on top for 2007 British Grand Prix,0,0.05
Relationships At The Beginning Vs Relationships After Three Years,1,0.95
44 Perfect Songs To Listen To While You Write,1,0.95
Neville Chamberlain's War Diaries go on display,0,0.05
George Clooney And Channing Tatum Took Our BFF Test And OMG,1,0.95
Never Mind What It Costs. Can I Get 70 % Off?,0,0.05
Golf Balls to Fit Any Hole or Budget,0,0.05
"Try To Control Yourself, But The ""Sexiest Doctor Alive"" Is Giving Away A Date For Charity",1,0.95
Which Disney Couple Are You And Your Significant Other Based On Your Zodiac,1,0.95
"This Reunion Interview With The Cast Of ""Willy Wonka & The Chocolate Factory"" Hits The Feels",1,0.95
Watch This Hedgehog Get A Massage And Instantly Become Tickled,1,0.95
Zimmerman stands before judge for the Trayvon Martin shooting,0,0.05
15 Words That Mean Something Entirely Different To Women,1,0.95
Flyers Take Round 3 in Series With Penguins,0,0.05
Would You Hook Up With These Ghosts,1,0.95
17 Cleanses That Will Help You Start 2016 Off Right,1,0.95
Which Disney Channel Original Movie Are You,1,0.95
Air Berlin to code-share with American Airlines and Finnair by November,0,0.05
35 Photos Of People Taken The Moment They Got The Fright Of Their Lives,1,0.95
Voyager space probes face shutdown,0,0.05
Filming the Flight of a Winged Maple Seed,0,0.05
11 MPs ejected from Australian parliament,0,0.05
Wider Drug War Threatens Colombian Indians,0,0.05
"Hold the Eulogies, Kennedy Says",0,0.05
"Greece declines Finland's offer of helicopters, personnel to help fight forest fires",0,0.05
Who Threw the DVD From the Train?,0,0.05
German and Swedish foreign ministers agree on Gaza standpoint,0,0.05
A Reminder That Maru Is Still King Of The Internet,1,0.95
Children of Men wins Scripter Award for writing,0,0.05
These Women Hurt Their Vaginas On The Monkey Bars,1,0.95
"For College Walk-Ons, a Road Less Traveled to the Majors",0,0.05
Australia to honour Steve Irwin with nature park,0,0.05
"Which ""The Fosters"" Character Are You",1,0.95
New study shows children's perception of rainforest wildlife,0,0.05
31 Totally Adorable Holiday DIYs,1,0.95
"We Need To Talk About This Christening Speech From ""Jane The Virgin""",1,0.95
Which Thanksgiving Food Is The Best,1,0.95
Israeli President chooses Likud leader to form the 18th Knesset government,0,0.05
Suspect in Georgia courtroom slayings caught,0,0.05
Space Shuttle Lands in Florida,0,0.05
We Know Whether You're An Extrovert Or Introvert Based On Your Instagram,1,0.95
New Lessons for the Army on Iraq Duty,0,0.05
Watch One Man Transform Into Five Women Through Makeup,1,0.95
Parents arrested after putting baby on Craigslist,0,0.05
Australian Defence Force faces a mass of sexual abuse lawsuits,0,0.05
"A New Series Of ""Serial"" Has Unexpectedly Arrived",1,0.95
Russian citizen jailed for sending military intelligence to US,0,0.05
Which Michael Cera Are You,1,0.95
2008 Taipei AMPA: IT industry will pulse the growth of automotive industry,0,0.05
Everyone's Sharing This Picture Of A Crowd To Make A Point About Modern Life,1,0.95
British painter Lucian Freud dies aged 88,0,0.05
The Good Dinosaur Is A Reminder That Even Bad Pixar Is Pretty Good,1,0.95
"How Well Do You Remember ""Jersey Shore""",1,0.95
Mauritania president Abdallahi arrested in coup,0,0.05
16 Confessions About What Life Is Like For Broke College Students,1,0.95
Yahoo! to purge personal data after 3 months,0,0.05
"Man killed in harbour car crash in Cornwall, England",0,0.05
Six aid groups suspend work in Chad after killing,0,0.05
"Swiss cabinet reorganised, Finance Minister in coma",0,0.05
29 Pairs Of Impossibly Gorgeous Heels To Wear On Your Wedding Day,1,0.95
Justice Iftikhar Muhammad Chaudhry reinstated as Chief Justice of Pakistan,0,0.05
A Hilariously Accurate Guide To Dog Owners In New York City,1,0.95
"As Season Nears End, Soccer's Giants Stay in Trophy Chase",0,0.05
"Medical School Says Ex-Army Surgeon, Hid Medtronic Ties",0,0.05
Somebody Please Buy Me This Genius Alarm Clock Rug,1,0.95
The Rush to Stake a Domain Claim,0,0.05
"Hilda Kibet, Kenyan by Birth, Is Dutch Cross-Country Hope",0,0.05
English Club Is Accused of Helping Bitter Enemy,0,0.05
Literally Just 20 Pictures Of Tom Hiddleston,1,0.95
19 People Who Look Just Like Macklemore,1,0.95
This Is What Happens When A Lesbian Runs A Gay Guy's Grindr For A Week,1,0.95
24 Perfectly Romantic Wedding Songs For Twentysomethings,1,0.95
15 Vagina Horror Stories That'll Send Shivers Down Your Spine,1,0.95
"39 Things You Probably Didn't Know About ""Harry Potter And The Goblet Of Fire""",1,0.95
Iraq election commission refuses recount of votes from parliamentary election,0,0.05
Are You Dope Or Nope,1,0.95
"One Direction Revisited Natalie Imbruglia's ""Torn"" And It Will Give You The Feels",1,0.95
"Kept From World Baseball Classic, Johan Santana Acts as a Fan",0,0.05
Viacom Profit Falls 69% as Revenue Remains Flat,0,0.05
"Water main bursts in west Edinburgh; traffic, utilities disrupted",0,0.05
Mozilla to fix Firefox security hole in patch,0,0.05
US X Factor producers confirm line-up changes,0,0.05
This Toddler Headbanging And Air Drumming To His Favourite Band Is The Cutest Thing You'll See Today,1,0.95
This Police Officer Showed Up To A Routine Call And Ended Up Falling In Love With A Puppy,1,0.95
"These Lego ""Star Wars"" Photographs Are Incredible",1,0.95
Fireball generated in U.S. laboratory resembles black hole,0,0.05
North Korea Missile Launching Preparations Suspected,0,0.05
How Three Mutual Funds Steered Away From the Cliff,0,0.05
7 Quick And Delicious Dinners To Make If You Have No Free Time,1,0.95
Third union separates from AFL-CIO,0,0.05
Shelling in Somalia's capital kills twenty,0,0.05
New York Representative Eric Massa to retire,0,0.05
Thaksin still pervades Thai political landscape,0,0.05
We Know Your Favorite Dog Breed Based On These Random Questions,1,0.95
Eleven die in truck-van crash in Kentucky,0,0.05
When You Text Your Ex,1,0.95
"51 Thoughts I Had While I Watched ""American Horror Story: Hotel"" Episode 3",1,0.95
"One Direction's Louis Tomlinson Called A Reporter A ""Little Shit"" During An Interview",1,0.95
This Woman And Puppy Who Have Both Lost An Eye Are Each Other's Kindred Spirits,1,0.95
13 Cocktails That'll Knock Santa's Boots Off,1,0.95
Spanish airline LTE suspends all flights,0,0.05
US prosecutor Mike Nifong to be disbarred for ethics violations,0,0.05
Are You The Red One Or Are You The Blue One,1,0.95
Canadians Are Tweeting The Most Beautiful Message To Newly-Arrived Refugees,1,0.95
UN observers in Syria fired upon as report alleges US warplanes readying attack,0,0.05
We Asked Canadians How They Felt About Dollarama Raising Its Prices,1,0.95
17 Hilarious Ways People Found Out Santa Isn't Real,1,0.95
This Easy Hack Lets You Play Music On YouTube WHILE Using Other Apps On Your iPhone,1,0.95
"German Wikipedia DVD sells out first 10,000-copy run",0,0.05
Another Top Law Firm Pays Hires to Delay Start,0,0.05
This Is What Happens When A Blizzard Strikes On Your Wedding Day,1,0.95
Prison Term for a Seller of Medical Marijuana,0,0.05
Chinese version of Wikinews gets blocked in China,0,0.05
Iraq collects victim signatures for Blackwater lawsuit,0,0.05
Norwegian Stake in Russian Joint Venture Seized,0,0.05
Minimum wage in United States increases to $6.55,0,0.05
"Students raise record amounts of money during Christmas fundraiser at Benet Academy, Illinois",0,0.05
32 Parents Who Totally Nailed It On Halloween,1,0.95
"2009 College World Series field set, games to start Saturday",0,0.05
Answer These Five Questions And We'll Tell You Where You Should Live In The U.S,1,0.95
Anxious Investors Want Biotech Firms to Cash Out,0,0.05
This Katniss Braid Tutorial Is Everything,1,0.95
Oscar-Nominated Movie Posters With White Actors Removed,1,0.95
It's About Time We All Admit That Honeydew Melon Is Garbage,1,0.95
"2007 FIFA U20 World Cup: Austria, Czech Republic, Spain and US make it to quarters",0,0.05
18 Times Taylor Swift Made Us Jealous On Instagram,1,0.95
Three dead in murder-suicide shooting at Southern California fast food restaurant,0,0.05
28 Incredibly Important Cast Reunions From 2015,1,0.95
Nigerian election result will not be annulled,0,0.05
Women React To Awful Sex Advice Throughout History,1,0.95
"This Maid Of Honor's ""Ice Ice Baby"" Wedding Toast Is Flawless",1,0.95
Dalai Lama threatens to resign if situation in Tibet worsens,0,0.05
Ousted Honduran president Zelaya says coup talks suspended,0,0.05
Here's How To Eat Everything You've Ever Wanted From A Miyazaki Film,1,0.95
Violent protests break out in Kyrgyzstan over allegedly rigged parliamentary elections,0,0.05
An Overseer of Medical Trials Comes Under Fire,0,0.05
15 Incredibly Bitchy Texts Your Period Would Send You,1,0.95
22 Tweets That Are Way Too Funny For Anyone Who Hates Wearing Jeans,1,0.95
18 Struggles That Are Way Too Real For People Who Cry Easily,1,0.95
Two police officers injured in Pentagon shooting incident,0,0.05
Woman with world's longest fingernails loses them in car crash,0,0.05
It Really Really Really Really Really Sucks In New York City Right Now,1,0.95
China Seeks Dominance in Clean Energy,0,0.05
Former Indian President R. Venkataraman dies age 98,0,0.05
What Type Of Show Should You Binge-Watch In 2016,1,0.95
21 Photos Of Flight Attendants Living The Life In Overhead Bins,1,0.95
"Phoebe Buffay Is Supposed To Die On October 15, 2032",1,0.95
19 Hilarious Tweets About God That'll Make You Laugh Every Time,1,0.95
We Reenacted What Kids Said About Black Leaders And It's Amazing,1,0.95
Labor Sees Green in Solar Plants in California,0,0.05
21 Things You Need For Your Baby If You Were In Hufflepuff Or Ravenclaw,1,0.95
How Much British History Do You Actually Know,1,0.95
If Donald Trump Tweets Were Motivational Posters,1,0.95
"16 ""The Simpsons"" Questions That Are Impossible To Answer",1,0.95
Iran tests new centrifuges,0,0.05
3 U.S. Soldiers Die in Attack at a Base in Southern Iraq,0,0.05
What To Do When Someone Gives You A Giant Squid,1,0.95
Chinese Grease the Wheels of Power With Luxury Gifts,0,0.05
79 Thoughts Two Idiot Americans Had During This Week's Episode Of Tatort,1,0.95
14 Players Admit Why They Use Women For Sex,1,0.95
Rumors of Oprah Winfrey's death a hoax,0,0.05
"Tropical Storm Katrina threatens Florida, Bahamas",0,0.05
Is Armpit Hair Sexy On Women,1,0.95
Apparently Chance The Rapper Is Going To Be On Kanye's New Album,1,0.95
Melbourne police raid hydroponic cannabis growers,0,0.05
17 New Year's Eve Struggles Every Introvert Knows Too Well,1,0.95
This TV Host Accidentally Told Piers Morgan She Could Sit On His Face Live On Air,1,0.95
Can You Guess Which San Francisco Burrito This Is,1,0.95
SpaceX rocket successfully orbits on fourth attempt,0,0.05
"Internet backbone hosts feud, disconnecting users",0,0.05
"After This Sikh Guy Became Part Of A Racist Meme, The Internet Helped Turn Him Into A Hero",1,0.95
Wikipedia suffers outage,0,0.05
Critic of Chechen President Is Killed in Exile in Vienna,0,0.05
"Subway train derails in Washington, D.C.",0,0.05
Premier League: United snatch victory in dramatic Manchester derby,0,0.05
What Sexy Way Should You Surprise Your Partner Tonight,1,0.95
Companies Pretty Up Prices to Win Stimulus Projects,0,0.05
76 Things You'll Know After Three Years At University,1,0.95
Analysts Fault Europe for a Too-Tepid Stimulus Plan,0,0.05
IMF approves US$1.13 billion loan to Pakistan,0,0.05
"24 Times Jess From ""New Girl"" Was 100% Actually You",1,0.95
Reese Witherspoon Just Called Out Hollywood Ageism And Sexism And It Was Beautiful,1,0.95
How To Tell Time,1,0.95
Wall Street Closes Lower as Global Forecast Dims,0,0.05
Being In A Relationship During The Holidays: Expectations Vs. Reality,1,0.95
Politicians call for NY Sen. Monserrate to resign after assault conviction,0,0.05
31 Tweets About Fast Food That Will Actually Make You Laugh,1,0.95
These Google Calendar Tricks Will Get You Organized,1,0.95
A Literary Legend Fights for a Ventura County Library,0,0.05
California lead bullet ban moves forward,0,0.05
Tighter Budgets Affect College Sports Recruiting,0,0.05
Nevada Plane Crash Kills 4,0,0.05
43 Overlooked Places All Travel Lovers Should Have On Their List,1,0.95
Phoenix spacecraft makes first 'impression' on Mars,0,0.05
"Containment capsule captures 10,000 oil barrels a day in Gulf of Mexico",0,0.05
People Try Bull Testicles For The First Time,1,0.95
Here's A Look Inside The Harry Potter Coloring Book,1,0.95
15 Duets From The Early 2000s You've Forgotten Existed,1,0.95
Head of US Minerals Management Service resigns following BP oil spill response,0,0.05
Louisville Men Build Reputation on Pressure Defense,0,0.05
Who Is This Person's Famous Mom Or Dad,1,0.95
Seven policemen killed in Afghanistan after bomb explosion,0,0.05
U.S. Economy Shrank 6.2% in Fourth Quarter,0,0.05
RNA journal submits articles to Wikipedia,0,0.05
Bob Ross Painting Episodes Are Streaming Online And People Are Stoked,1,0.95
"Dear Academy, Please Give Leo DiCaprio A Fucking Oscar",1,0.95
"25 Hottest TV Sex Scenes Of 2015, Ranked From Worst To Best",1,0.95
Rejuvenated and Off to the Big Parade,0,0.05
15 Times The Justin Trudeau Thirst Went Too Far,1,0.95
Strike by U.N. Workers Forces 174 Schools to Close for a Day,0,0.05
Boise Region Grapples With Smog,0,0.05
What Britney Spears Instagram Looks Like Vs. Other Pop Stars' Instagrams,1,0.95
British Boxers Fight for the Spotlight,0,0.05
US military to withdraw military trainers from Pakistan,0,0.05
"What's The Funniest Moment From ""Elf""",1,0.95
20 People Who Immediately Recognized Their Mistake,1,0.95
UK elections: David Cameron becomes Prime Minister,0,0.05
19 Food Truths Only Chicagoans Will Understand,1,0.95
CanadaVOTES: NDP candidate Jo-Anne Boulding in Parry Sound—Muskoka,0,0.05
19 Texts That Are Way Too Real For Anyone Who's A Little Bit Greedy,1,0.95
CyanogenMod: Open-source smartphone OS goes commercial,0,0.05
Fewer Letters and More Space in the Mailbox,0,0.05
Celebrities React To Snapchat's New Selfie Filter,1,0.95
Rudd replaces Beazley as Australian opposition leader,0,0.05
15 Reunion Destinations Your College BFFs Can All Agree On,1,0.95
What Are Your Best Tips For Managing Your ADHD At Work,1,0.95
Seismic Readings Point to a Small Nuclear Test,0,0.05
Which New Adele Song Are You,1,0.95
Political Outsider Finds a Fight Inside City Hall,0,0.05
"How Well Do You Remember ""The Office"" Seasons 1-3",1,0.95
Baseball Denies Charge in Book by Radomski,0,0.05
This Is What Push-Up Bras Actually Look Like In Different Sizes,1,0.95
"Madoffs Worth $823 Million, Court Filing Says",0,0.05
Why You Don't Have Six-Pack Abs,1,0.95
24 Gifts Only People Who Like Art Will Appreciate,1,0.95
You Assholes Love Pumpkin Spice So Much How About You Try The Real Thing,1,0.95
Intensely Running Ryan Phillippe Is All Of Us,1,0.95
What Every Star Wars Fan Needs To See At Disneyland,1,0.95
Another grenade attack in Thailand injures eight,0,0.05
Gunman shoots at gamblers at Las Vegas casino,0,0.05
Weir Versus Lysacek Highlights U.S. Figure Skating Championships,0,0.05
"Marvel Reveals Carrie-Anne Moss Is Playing Genderbent Character In ""Jessica Jones""",1,0.95
14 Detention Slips That Were Well Deserved,1,0.95
Three New Jersey boys found dead,0,0.05
These 4 Idiots Dressed Up As Santa And Harassed Their Office To Discover The True Meaning Of Christmas,1,0.95
Maker of Newsprint Trying to Restructure Debt,0,0.05
Demonstrators clash with police in Algeria after slum protest,0,0.05
Fats Domino rescued in New Orleans,0,0.05
Bush nominates John G. Roberts for U.S. Supreme Court,0,0.05
Hasegawa retains Bantamweight title,0,0.05
Can You Match The Song Lyrics To The Disney TV Movie,1,0.95
15 Ways Your Brain Fools You On A Daily Basis,1,0.95
Social Media Vs. Real Life,1,0.95
46 Die in Taliban Attack on Pakistani Troops,0,0.05
Chinese hostage rescued in the Philippines,0,0.05
If Disney Movies Were Blaxploitation Films,1,0.95
What Does The Fox Say Duo Skewers Pentatonix And A Capella,1,0.95
30 Decadent Fall Desserts For People Who Don't Like Pumpkin,1,0.95
"Crossrail set to only compensate £50 for land rights, London, UK",0,0.05
U.S. military covertly pays to run stories in Iraqi press,0,0.05
A Conservative Organization Is Accused of Offering Help in a Labor Dispute for a Price,0,0.05
"Which Random ""30 Rock"" Character Are You",1,0.95
"Chris Rock Promises The Oscars Will Be Full Of Drunk, Disappointed People",1,0.95
Watch Asif Confess What It's Like When A Breakup With Your Best Friend Becomes A Massive Meme,1,0.95
Congressman Thad McCotter ends bid for U.S. president,0,0.05
Eurozone economy did not grow at all in last quarter of 2009,0,0.05
How Well Do You Know Your Autumn Leaves,1,0.95
"Court witness kidnapped in Buffalo, New York",0,0.05
Here Are The Bronzers And Blushes That Actually Look Amazing On Women Of Color,1,0.95
"UN agency condemns new Afghan ""Shia family law""",0,0.05
19 Fluffy Puppies Who Might Actually Be Bears,1,0.95
Which Legendary Female Singer Are You,1,0.95
This New Movie May Be The Best Use Of 3D Ever,1,0.95
Are You A Sane Person In A World Gone Mad,1,0.95
17 Adorably SpooOOOooky Knits For Halloween,1,0.95
Date announced for by-election to replace former New Zealand PM Clark,0,0.05
Shadowy Iranian Vigilantes Vow Bolder Action,0,0.05
We Know Your Personality And Age Based On Your Favorite TV Show,1,0.95
US rejects EU proposal to give Internet control to the UN,0,0.05
A Bride Shared A Special Wedding Dance With The Man Who Saved Her Life,1,0.95
How To Make Mini Nutella Pizzas,1,0.95
Digital TV Delay Runs Into Protest,0,0.05
21 Must-Do Things At Disneyland On Halloween,1,0.95
"Which Guy From ""Are You The One?"" Would Be Your Perfect Match",1,0.95
Americans Listen To Japanese Pop Music For The First Time,1,0.95
"17 Foods Guaranteed To Excite Any ""Star Wars"" Fan",1,0.95
"Jimmy Kimmel Blended ""Scandal"" With ""Gossip Girl""",1,0.95
27 Times Nadia Aboulhosn Was Right About Everything,1,0.95
Nuggets Use a Little of Everything to Even Series,0,0.05
"5 Stages Of The Yom Kippur Fast, Illustrated By Amy Schumer",1,0.95
"Bank Stress Tests May Not Be a Big Deal, After All",0,0.05
22 Things Scottish People Have Been Trying To Tell You For Years,1,0.95
French Parliament adopts controversial copyright bill,0,0.05
"Weird Ways Guys Say ""I Love You""",1,0.95
18 Really Honest Confessions From Straight Edge People,1,0.95
Tell Us Your Most Embarrassing Teenage Moment,1,0.95
Pentagon proposes Taiwanese arms sale,0,0.05
"Knife-wielding woman arrested after allegedly stabbing four at store in West Hollywood, California",0,0.05
UN reports Rwandan refugees repatriated by force,0,0.05
21 Things New Parents Take A Little Getting Used To,1,0.95
"China censors, arrests Catholics in wake of Pope's death",0,0.05
Commuter chaos in Sydney after wind damages lines on Harbour Bridge,0,0.05
Carriers Sweeten the Deal for Prepaid Cellphones,0,0.05
Replacement for Senator Ted Kennedy named,0,0.05
This Is What Dating Looks Like Early On Vs. After A Long Time,1,0.95
Serbian government gives scholarships to students studying abroad,0,0.05
Tens of thousands protest in London before Copenhagen climate change summit,0,0.05
A TV Reporter Was Harassed While Doing A Segment On Street Harassment,1,0.95
European Parliament rejects computer-implemented inventions directive,0,0.05
Alan Turing Building opens at University of Manchester,0,0.05
54 killed by suicide bomber at Musayyib gas station,0,0.05
"In Scotland, New Leadership Crumbles Old Barrier",0,0.05
Philippine Foreign Secretary Del Rosario to visit China amid South China Sea territorial dispute,0,0.05
"Mullins, Trainer of I Want Revenge, Is Suspended",0,0.05
19 Things People Who Wear Makeup Are Tired Of Hearing,1,0.95
Are You More Of A Verbal Or Nonverbal Communicator,1,0.95
"Ukraine opposition candidate Yushchenko is suffering from a Dioxin intoxication, doctors say",0,0.05
Two Appetizers That You Must Serve At Your Thanksgiving Dinner This Year,1,0.95
"75 Thoughts I Had While Watching ""Star Wars: The Force Awakens""",1,0.95
"The Real Winner From Drake's ""Hotline Bling"" Video Wasn't His Dance Moves",1,0.95
Should We Netflix And Chill,1,0.95
New Efforts in Europe to Bolster Lending,0,0.05
"North Korea cancels all military, political agreements with South Korea",0,0.05
Surround Sound to Make Your Home a Theater,0,0.05
"As Mexican Killings Rise, Groups Take Envoy to Task",0,0.05
250 Nuns Just Cycled All The Way From Kathmandu To New Delhi,1,0.95
Your Life In Numbers,1,0.95
Can You Identify The Disney Character By Just Their Eyes,1,0.95
Kids Confess Their Feelings About Their Crush,1,0.95
"Teenager in Florida, United States skips school, goes to Iraq",0,0.05
Hotel Service Employees Feel Economic Pain Early,0,0.05
"Sansa Stark Will Finally Catch A Break On The Next Season Of ""Game Of Thrones""",1,0.95
10 Surprisingly Delicious Ways To Cook With Beer,1,0.95
"Biological Encyclopedia website too popular on first day, crashes",0,0.05
One Side Makes Offer in Honduran Impasse,0,0.05
"23 Reasons You Should Re-Watch ""The Social Network""",1,0.95
"We, Non-Celebs, Acted Like Celebs On Instagram And This Is What Happened",1,0.95
"MPAA launches seven lawsuits against torrent, ed2k and usenet sites",0,0.05
16 Very Rude Texts Your Chronic Pain Would Send You,1,0.95
"Daniel Radcliffe Really Wants You To Know That He Didn't Masturbate On The Set Of ""Harry Potter""",1,0.95
Leonardo DiCaprio Blushed Real Hard When He Watched Himself Make That Face At Lady Gaga,1,0.95
Hewlett-Packard to expand partnership with SAP,0,0.05
What's The Best Fast Food Burger In America,1,0.95
14 Times Canada Completely Ruined Your Halloween,1,0.95
.tel top-level domain launched,0,0.05
Laboratory fire forces evacuation of Australian National University,0,0.05
"12 Reasons Pete Davidson Is The Most Relatable ""SNL"" Cast Member",1,0.95
This Latina Beauty Queen Was Just Named The New Face Of Revlon,1,0.95
Is This a Shakespeare Which I See Before Me?,0,0.05
Nelson Mandela lies in state as South Africa mourns,0,0.05
25 Things You Should Never Say To Someone With Big Boobs,1,0.95
When Adele Releases A New Song,1,0.95
US Secretary Rice responds to European enquiries on alleged CIA prisons,0,0.05
"22 Times Geralt Of Rivia From ""The Witcher 3"" Looked Sexy AF",1,0.95
"Can You Identify The ""Game Of Thrones"" Characters By Their Eyes",1,0.95
There's A New Taylor Swift Meme Sweeping Tumblr,1,0.95
17 Animal Hugs To Get You Through The Day,1,0.95
Can You Pass This Basic Algebra Quiz,1,0.95
Which Zodiac Sign Do You Think Fits You Best,1,0.95
39 Songs You Need In Your Life This January,1,0.95
"Two shot on nuclear submarine in Southampton, England",0,0.05
We Know Your Favorite Smiley Emoji Based On Your Birth Month,1,0.95
"Harnessing the Sun, With Help From Cities",0,0.05
Which Severus Snape Quote Matches Your Zodiac Sign,1,0.95
Opium production in Afghanistan reaches record highs,0,0.05
Demi Lovato On Her Mental Health Journey,1,0.95
Ed Stelmach elected new Alberta premier,0,0.05
Sony may cut PS3 prices,0,0.05
Possibly on Sale at Barneys: Barneys,0,0.05
21 Of The Most Hilarious Things People Have Done While High,1,0.95
Germany selects squad for Euro 2008,0,0.05
24 Tumblr Posts Only Pop-Punk Fans Will Laugh At,1,0.95
"Four shot in restaurant in Alabama, US",0,0.05
These Hindus Ate Beef To Protest The Ban And Challenged Extremists To Kill Them For It,1,0.95
US military admits to accidentally killing Iraqi child,0,0.05
Which Adele Lyric Describes Your Love Life,1,0.95
"As Others Fled Venezuela, Stanford Saw a Chance",0,0.05
Pakistan's President Musharraf resigns; new elections to be held,0,0.05
British man charged with double murder in Iraq,0,0.05
Few Protesters at Inauguration,0,0.05
27 Ridiculously Weird Things Kids Actually Got While Trick-Or-Treating,1,0.95
St. Vincent Waitressed At Her Sister's Dallas Restaurant This Weekend,1,0.95
19 Cozy Onesies You'll Want To Wear Everywhere,1,0.95
Finding Business Security in Military Contracts,0,0.05
Who Said It: Lorde Or Audre Lorde,1,0.95
If Bad Reviews Were On Movie Posters,1,0.95
"Priyanka Chopra's Prep For The Red Carpet Was To Eat A Burger, And It's Amazing",1,0.95
Which Weird YouTube Challenge Are You Based On Your Zodiac Sign,1,0.95
12 Presidential Candidates And Their Dog Twins,1,0.95
England remembers Bobby Robson,0,0.05
14 Weird But Wonderful Antique Girls' Books,1,0.95
"Nick Kroll And Amy Poehler Split, Love Is Dead, And My Hatred For Summer Grows",1,0.95
19 Dorm Room Tips That'll Get You Instantly Organized,1,0.95
Fourteen dead as passenger helicopter crashes off Estonia,0,0.05
I Cleaned My Ass With A Bidet And This Is What Happened,1,0.95
22 Stupid Easy Tips That'll Make Windows 10 So Much Better,1,0.95
For Anyone Who Thinks Drunk Food Is The Best Part Of Going Out,1,0.95
Finnish police isolate ports in Helsinki,0,0.05
U.S. ISPs to test restricting heavy Internet users,0,0.05
Abramoff pleads guilty to three charges,0,0.05
The Funeral: Your Last Chance to Be a Big Spender,0,0.05
"Everyone's Freaking Out Over This Girl's Amazing ""Sexy Gandalf"" Costume",1,0.95
31 Childhood Photos Of Amy Schumer That Are Just Too Damn Cute,1,0.95
UK New Year's Day murder suspect jumps from seventh floor window,0,0.05
Egypt recalls envoy in Israel,0,0.05
"Buffalo, New York man shot in head, run over by shooter's car",0,0.05
Guatemalan minister killed in helicopter crash,0,0.05
"Brampton, Canada and Marikina, Philippines seeing double as cities twin",0,0.05
"The Mash-Up Of Boston Guys Seeing A Fish And ""The Heart Of The Sea""",1,0.95
